Month,Total.Biomass.Consump.TrillBTU.,BioMass.Prod.Trill.BTU.,Natural.Gas.Consumed.by.the.Transportation.Sector..Vehicle.Fuel..Billion.Cubic.Feet.,GeoConsump.TrillBtu.,GenCalifornia...other.thousand.megawatthours,Total.Renewable.Consump.TrillBTU.,Total.RenProd..TrillBtu.,WasteConsump.TrillBTU.,Electricity.Direct.Use..Billion.Kilowatthours.,Av.Temp
1/1/14,410.518,405.457,2.997,18.279,79.22256,809.335,816.316,44.923,12.043,64.22
2/1/14,409.158,399.522264,2.974995631,18.15440072,78.69275452,795.9620261,806.6116359,45.29722036,11.32910273,59.83177382
3/1/14,409.898,400.3901255,2.945857402,18.67988801,81.56840896,861.4043502,871.702671,46.67799436,12.43575942,51.1381072
4/1/14,409.251,404.6778762,2.998245399,19.7384063,99.95633309,887.7057493,898.5531723,48.67817955,12.76910533,45.85734027
5/1/14,409.671,386.1539171,3.001138206,17.34537604,91.89960976,818.4212376,826.0073459,43.38076486,10.64089129,49.81188874
6/1/14,409.851,387.8563286,2.900878546,19.30048491,96.05829977,861.1630023,873.9102139,48.9678247,12.24427453,54.05622174
7/1/14,410.83,391.9062439,3.028530885,17.39123629,88.06966267,899.4394058,908.3912565,45.79447068,11.37679713,49.08659669
8/1/14,410.896,398.6147567,2.986967174,18.96610415,97.77384641,943.300837,952.5001076,47.45299174,12.09159498,52.70522036
9/1/14,410.094,395.9011753,3.010692723,17.91083698,96.47668265,940.1483901,949.5288707,47.98379254,12.43571165,58.52731755
10/1/14,409.691,406.0891948,2.984978836,19.49939635,99.26304041,925.6732954,933.4935286,50.21919855,13.85931282,65.19792563
11/1/14,409.763,405.8524788,3.022921914,18.85716816,97.29877092,851.1261649,860.1867892,50.11988051,13.06505634,70.47193409
12/1/14,410.654,405.982086,3.013713198,18.38873081,95.36771854,812.369042,821.9536103,47.37767084,11.76695132,71.32921439
1/1/15,410.689,411.4405429,2.955708116,19.00909459,99.32835095,839.2649568,849.8107014,48.08274498,11.272523,62.38485158
2/1/15,409.178,418.4772595,3.041193003,18.67871236,87.4914369,916.3359517,920.2205573,49.22340322,12.71315188,45.03889764
3/1/15,409.578,421.2364254,3.064291673,19.97994291,122.04949,902.0402717,913.5420243,51.42196517,12.32578039,55.2869224
4/1/15,409.119,395.0644489,2.895506072,17.72795192,70.67929555,789.961143,799.8842852,43.65526337,12.62902693,58.25810681
5/1/15,409.653,409.3017248,3.254292351,19.17003027,61.48200762,815.5422527,825.8058108,46.09750374,12.46115071,66.2501309
6/1/15,410.372,409.5014022,3.153424572,17.59021776,44.94106378,873.6003435,880.7042742,42.83985451,12.00704524,60.31777569
7/1/15,411.431,420.4315207,3.282903408,19.54072369,46.340795,925.9203566,932.0578147,43.87907293,12.5254287,71.14655534
8/1/15,411.191,405.6540441,3.181056557,17.56999273,38.57777076,941.4217579,947.3655485,44.37052698,13.04326532,72.83851847
9/1/15,410.517,425.8830622,3.276334296,20.26990109,37.28952699,940.9971076,945.4244525,45.99239771,13.82052078,84.20429383
10/1/15,410.017,414.8292523,3.220329718,18.51562506,30.97241963,887.2651637,892.3992563,45.74533358,13.37602641,80.95171588
11/1/15,410.159,424.9454571,3.243958831,18.66339895,24.48004486,850.1292048,856.0989318,43.45131179,13.09115843,83.64082858
12/1/15,410.963,427.7790558,3.222963075,19.20645014,22.91126634,869.4113751,874.232241,43.28194866,12.44935971,68.46234398
1/1/16,410.728,408.8479536,3.243693113,18.19688871,8.437800081,885.1742293,887.6241183,43.19219708,12.92576931,68.57225253
2/1/16,409.802,428.6070192,3.226222632,18.62613641,8.097523291,916.0258338,920.7057226,43.9181582,12.9726853,62.51001244
3/1/16,410.36,432.943496,3.401159241,19.46466027,0.487439853,912.1006441,918.7014745,43.43065233,14.18493273,67.33975991
4/1/16,409.74,415.5924354,3.267909397,18.10254419,-7.660021351,875.7346267,878.50223,39.68330552,11.94331421,65.71773395
5/1/16,410.133,443.4916184,3.402312616,19.43194616,-12.53958882,923.2849468,930.2229561,42.6110643,12.69682374,66.76840447
6/1/16,410.408,445.7591746,3.379235914,18.96775033,-17.10462107,942.5210502,947.0388257,41.11124642,12.11830451,59.74056424
7/1/16,411.036,454.0222975,3.427883126,19.48641454,-21.76615797,990.7187397,994.2169631,41.13511117,12.67072819,69.93665004
8/1/16,411.058,454.9581886,3.380574238,19.81667305,-18.64942408,989.0732629,992.2819221,40.68518472,12.75851879,73.74509652
9/1/16,410.155,473.6792352,3.429594636,20.30655843,-16.64516687,969.2174306,971.7760857,42.68037978,13.68978418,86.92798069
10/1/16,409.788,471.9564588,3.428041047,20.21499671,-15.90221423,926.8173684,928.4378496,42.7107741,13.74511623,88.13793384
11/1/16,410.017,468.3414953,3.381069012,20.0430731,-15.26509418,872.9970661,876.1837876,40.50302193,12.72904426,87.30594631
12/1/16,410.464,478.7514212,3.433429367,20.48213096,-12.828641,875.7996761,878.4855995,40.41283621,12.73465336,76.74280737
1/1/17,410.548,471.9412284,3.382358799,19.91980716,-14.63681233,886.8597872,887.0149713,40.06093909,12.43930345,71.46573801
2/1/17,409.462,487.2990546,3.434090978,20.71521495,-10.79437525,927.4250938,929.0309079,41.38829153,12.97836275,62.76583646
3/1/17,409.979,488.6313196,3.656828587,21.29286304,-5.304507076,915.5283994,919.2972486,40.28292064,13.71802858,65.7068167
4/1/17,409.389,468.2625123,3.542010842,20.06954161,-0.922485226,876.8739122,878.2035041,36.54688802,12.14423064,64.34728002
5/1/17,409.627,487.3760282,3.687240457,21.3298362,5.881180302,920.0076033,924.3077677,39.54756728,12.80205663,68.87278657
6/1/17,410.034,486.8105134,3.604779803,20.56931525,7.146300401,924.5193866,927.3120425,37.8204282,12.28741447,67.39413737
7/1/17,410.701,490.5902399,3.657929074,20.70369594,7.505580866,967.5134933,970.0655977,38.57383934,12.74341635,73.1491164