Month,Natural.Gas.Consumed.by.the.Transportation.Sector..Vehicle.Fuel..Billion.Cubic.Feet.,GeoConsump.TrillBtu.,Electricity.Retail.Sales..Total..Billion.Kilowatthours.,Av.Temp,WoodConsump..TrillBTU.,Natural.Gas.Consumed.by.the.Electric.Power.Sector..Billion.Cubic.Feet.,Natural.Gas.Consumed.by.the.Other.Industrial.Sector..Non.CHP..Billion.Cubic.Feet.,GenCalifornia...other.gases.thousand.megawatthours,,
17-Jul,3.338705832,20.53618904,324.9125487,54.28003995,182.9778842,154.4690871,711.9393895,86.59148285,,43
17-Jun,3.193135941,18.96952377,327.1183429,49.01231087,176.0985173,123.5384052,716.753452,64.42199,,42
17-May,3.328359781,20.12769093,350.7823424,48.97309285,192.0784754,155.9883979,742.7431995,73.3716622,,41
17-Apr,3.145012958,19.45959135,334.8453231,46.61966275,194.0234547,150.1252425,716.3573043,60.17953659,,40
17-Mar,3.095843811,18.73072363,311.9037196,49.41916757,186.9460981,161.0165073,686.3315404,31.33314921,,39
17-Feb,3.145078801,19.36302571,328.5079031,52.5003365,193.6380085,260.8643422,674.5713974,35.34658959,,38
17-Jan,3.095538027,18.94165153,355.9712518,58.71536886,184.0924943,352.8413725,638.2558096,41.57364442,,37
16-Dec,3.142659364,19.29249075,382.5287756,56.66658653,185.3324297,518.3433766,659.1542277,29.3615624,,36
16-Nov,3.145087101,19.5471621,374.4980466,52.61589621,192.0814065,489.0396515,647.4503219,32.88710421,,35
16-Oct,3.095300853,18.9647051,333.0200745,42.28606391,179.2612281,308.1391704,623.4500697,29.80917507,,34
16-Sep,3.144986306,19.02606718,308.7249017,41.87820274,180.0603897,246.5532294,652.6111826,0.814534991,,33
16-Aug,3.096289771,18.40049194,295.9980352,39.49143992,176.1648131,235.5908917,679.7780249,-6.041161926,,32
16-Jul,3.135283916,19.25993622,309.5394579,46.4786136,178.5278711,250.3330219,696.5974291,18.1807473,,31
16-Jun,3.000692538,18.45653888,313.2009053,41.67515468,170.5421214,227.3098694,705.4889645,1.542336579,,30
16-May,3.143718167,20.12455894,338.9478693,39.63171823,192.6291452,280.3986287,740.0139911,24.4637086,,29
16-Apr,2.96564958,19.71368255,321.2163687,34.04498955,198.0417245,271.8466079,713.0008215,26.76125303,,28
16-Mar,2.921630414,19.06482614,301.3657487,36.89112637,194.1532652,276.7689101,687.4291513,16.17651822,,27
16-Feb,2.965729547,19.28954631,318.6773086,45.32620773,202.1891876,392.7648526,673.3430312,30.6362937,,26
16-Jan,2.922005956,19.02010086,345.6576136,54.96168741,190.3159569,489.3539452,633.9902966,38.01331964,,25
15-Dec,2.9635402,19.35785686,372.973933,57.54051998,186.0863941,645.3338325,667.6463202,57.66139478,,24
15-Nov,2.965856661,19.46998819,369.0783893,58.39274079,197.1504924,648.682519,670.6068706,99.63045482,,23
15-Oct,2.921764899,18.7002308,323.4051782,49.1682507,181.8030373,447.7576545,660.7536447,99.19089382,,22
15-Sep,2.965905235,19.13544009,292.8016406,44.06155993,186.8636692,312.852464,674.4017474,84.12309723,,21
15-Aug,2.921288331,18.35339347,277.4692974,36.82340673,177.3459327,305.8259298,705.8097224,97.68531437,,20
15-Jul,2.970580901,19.56449897,285.0515086,36.8903858,179.8249987,308.2760293,694.1696413,116.4580131,,19
15-Jun,2.832685443,18.18642247,282.0769869,35.29302345,170.0870451,253.8711862,678.8444508,96.99476741,,18
15-May,3.020246621,19.74349083,309.2500223,36.61224687,188.9064477,303.1025977,712.7153667,115.5807693,,17
15-Apr,2.984659127,18.81662173,286.9917056,36.04667274,190.0418614,303.6796654,670.8114715,112.9736766,,16
15-Mar,2.94383563,18.29832243,270.9856014,48.00755914,184.6778905,309.9308338,656.5666619,78.49252663,,15
15-Feb,2.9846753,18.35745991,284.3778382,56.37335931,192.6344432,479.1713332,648.9552312,69.83856362,,14
15-Jan,2.94383563,18.07270984,307.9320331,61.51063098,180.4208728,505.0232953,613.4512411,73.53852562,,13
14-Dec,2.984587191,18.52335756,344.1565482,64.15905721,191.3322617,693.3137901,618.0243739,111.149572,,12
14-Nov,2.99912791,18.19332331,320.4536072,63.83363891,189.172996,573.4924384,617.9296048,111.9191836,,11
14-Oct,2.984587191,18.39360284,304.6883647,63.47455795,190.2694095,481.3547312,618.526356,95.45364892,,10
14-Sep,2.99912791,18.09221933,298.0816114,63.22769034,189.0480346,477.6121417,620.8077269,99.17745508,,9
14-Aug,2.984587191,18.4751472,303.6065826,63.12135798,189.2131106,478.9453714,620.7968697,99.59221522,,8
14-Jul,3.028209348,18.10516726,301.4398425,63.35165745,187.8012998,438.2435192,619.9626922,84.24927456,,7
14-Jun,2.984587191,18.59415791,317.2578465,63.05456179,190.4403165,462.5593576,621.9937922,94.41102426,,6
14-May,2.997,18.34456604,304.2323949,62.97601665,190.5096038,453.1123927,619.6596671,95.43823248,,5
14-Apr,3.011186067,18.2335445,295.1762328,63.36235068,190.0159885,442.452765,618.8016219,78.7483802,,4
14-Mar,2.997,18.26329717,303.6861977,63.78822488,191.0479055,518.0763544,618.4299121,78.93821081,,3
14-Feb,3.011186067,18.18175281,320.2062946,64.07035954,189.7207722,547.1549882,616.5436242,84.05903402,,2
14-Jan,2.997,18.279,341.238,64.22,190.944,662.881,616.801,93.99616,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,